omitted_agent,retained_pair_count,retained_pairs,target_mask,mean_pair_delta_delayed_minus_immediate,delay_direction,robust_nonzero_kernels,robust_full_kernels,robust_mean_pairs,robust_minimum_suite_size,robust_minimum_suite,union_minimum_suite_size,union_minimum_suite,ordinary_minimum_suite_size,ordinary_minimum_suite
reference,3,instant_stop__speed_only | instant_stop__friction_blind | speed_only__friction_blind,56,-0.15841552857865454,negative,9050,1362,1.8107928679817906,1,brake_10057,1,brake_0000,1,brake_0000::view_04_exact_hidden_d0
instant_stop,3,reference__speed_only | reference__friction_blind | speed_only__friction_blind,38,-0.10255437531613557,negative,8993,404,1.722211684370258,1,brake_10069,1,brake_0004,1,brake_0004::view_02_exact_coarse_d0
speed_only,3,reference__instant_stop | reference__friction_blind | instant_stop__friction_blind,21,-0.10981495531950768,negative,4143,168,0.7121585735963581,1,brake_10387,1,brake_0004,1,brake_0004::view_00_exact_exact_d0
friction_blind,3,reference__instant_stop | reference__speed_only | instant_stop__speed_only,11,-0.1101627044343281,negative,9494,925,1.845314871016692,1,brake_10377,1,brake_0000,1,brake_0000::view_04_exact_hidden_d0
