job_id,repeat,order_index,schedule,workers,kernels,presentations,current_chunksize,elapsed_s,digest,valid_kernels,candidates,semantic_requests,computed_steps,cache_hits,observed_workers,worker_loads_json,group_elapsed_p50_ms,group_elapsed_p95_ms,group_elapsed_max_ms,total_group_work_s,worker_load_p50_s,worker_load_p95_s,worker_load_max_s,worker_load_mean_s,load_imbalance_max_over_mean,critical_path_over_ideal,straggler_excess_over_ideal_s,approximate_unattributed_time_s,completed_at
scheduler-r0-current_chunksize-w8,0,0,current_chunksize,8,24624,18,769,10.962103199999547,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.635863100120332,8.768608900223626,8.901624499791069,9.11272530007409,9.226279699607403,9.53205470003013,9.68180810031481,9.945714400077122]",0.2722999997786246,10.056955006439239,37.513699993724,73.80467870023858,9.169502499840746,9.853347195160312,9.945714400077122,9.225584837529823,1.0780578765714453,1.0780578765714453,0.7201295625472994,1.0163887999224244,2026-07-25T02:27:38.270837+08:00
scheduler-r0-fine_chunksize_1-w8,0,1,fine_chunksize_1,8,24624,18,769,15.723513399992953,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.72344239987433,8.769372099937755,8.783017800262314,8.797757499400177,8.801244199741632,8.819566200283589,8.832515400194097,8.843218000707566]",0.26000000070780516,9.69908000261057,23.928299997351132,70.37013360040146,8.799500849570904,8.839472090527853,8.843218000707566,8.796266700050182,1.0053376395075784,1.0053376395075784,0.0469513006573834,6.880295399285387,2026-07-25T02:27:54.057177+08:00
scheduler-r0-static_contiguous-w8,0,2,static_contiguous,8,24624,18,769,12.655902699989383,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[3.879638400117983,6.184795900204335,7.8306277999217855,9.145212500268826,10.000621299928753,9.861232000112068,10.250606400470133,9.843078000267269]",0.23520000104326755,9.092164996400241,20.525999992969446,66.99581230129115,9.494145250268048,10.16311161528065,10.250606400470133,8.374476537661394,1.2240295085157233,1.2240295085157233,1.8761298628087388,2.40529629951925,2026-07-25T02:28:06.762551+08:00
scheduler-r1-fine_chunksize_1-w8,1,0,fine_chunksize_1,8,24624,18,769,15.547137100002146,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.646404899322079,8.674403200551751,8.686021700210404,8.692671399767278,8.715111699930276,8.731321299943374,8.74137290022918,8.790538000161177]",0.26154999795835465,9.730599999602413,27.07630000077188,69.67784510011552,8.703891549848777,8.773330215184979,8.790538000161177,8.70973063751444,1.0092778256882808,1.0092778256882808,0.0808073626467376,6.756599099840969,2026-07-25T02:28:22.368956+08:00
scheduler-r1-static_contiguous-w8,1,1,static_contiguous,8,24624,18,769,12.976082099994528,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[3.9456656996480888,6.2322126000217395,8.016756800017902,9.361502800515154,10.232583600401995,10.165473300396116,10.458036899595754,10.087721400355804]",0.24264999956358224,9.294939995743334,20.953600003849715,68.49995310095255,9.724612100435479,10.379128244877938,10.458036899595754,8.562494137619069,1.2213774084409206,1.2213774084409206,1.8955427619766851,2.518045200398774,2026-07-25T02:28:35.418941+08:00
scheduler-r1-current_chunksize-w8,1,2,current_chunksize,8,24624,18,769,10.812374399989494,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.551718100105063,8.786479800313828,8.852828900242457,9.052079100016272,9.198991699435282,9.584898399960366,9.608481600283994,9.893754000542685]",0.2688000022317283,9.91146999440388,36.26109998731408,73.52923160089995,9.125535399725777,9.793908660452143,9.893754000542685,9.191153950112493,1.076443072789744,1.076443072789744,0.7026000504301919,0.9186203994468087,2026-07-25T02:28:46.281549+08:00
scheduler-r2-static_contiguous-w8,2,0,static_contiguous,8,24624,18,769,13.749541099998169,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[3.899092899999232,6.425728399903164,8.349434300223948,9.853783899874543,11.010026200077846,10.877955900403322,11.346374499553349,10.88286319996405]",0.2708999963942915,10.082769999280572,33.456400007708,72.64525929999945,10.365869900138932,11.228652594736921,11.346374499553349,9.080657412499932,1.2495102484468312,1.2495102484468312,2.2657170870534173,2.40316660044482,2026-07-25T02:29:00.080154+08:00
scheduler-r2-current_chunksize-w8,2,1,current_chunksize,8,24624,18,769,10.850623200007249,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.471473600104218,8.757161500194343,8.884043400656083,9.009445500036236,9.12409119932272,9.511821999301901,9.556490200702683,9.906168599787634]",0.2645999993546866,9.764565000659777,20.50009999948088,73.22069600010582,9.066768349679478,9.783781160107901,9.906168599787634,9.152587000013227,1.082335365921495,1.082335365921495,0.7535815997744066,0.9444546002196148,2026-07-25T02:29:10.988667+08:00
scheduler-r2-fine_chunksize_1-w8,2,2,fine_chunksize_1,8,24624,18,769,15.489032400000724,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.556211000555777,8.590590600142605,8.630397400571383,8.660236299983808,8.670919599971967,8.679505899868673,8.693230200369726,8.732707999486593]",0.25024999922607094,9.475699994072778,22.09230000153184,69.21379900095053,8.665577949977887,8.718890769795689,8.732707999486593,8.651724875118816,1.0093603443864325,1.0093603443864325,0.08098312436777633,6.756324400514131,2026-07-25T02:29:26.533839+08:00
scheduler-r3-static_contiguous-w8,3,0,static_contiguous,8,24624,18,769,12.702616599999601,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[3.930965798761463,6.273106200067559,8.035377100648475,9.229602199644432,10.13375539999106,10.164708000447717,10.31230799984769,10.04269190011837]",0.24204999499488622,9.289675001491558,21.54700001119636,68.12251459952677,9.636147049881401,10.2606480000577,10.31230799984769,8.515314324940846,1.2110308094727116,1.2110308094727116,1.7969936749068438,2.3903086001519114,2026-07-25T02:29:39.282871+08:00
