friction,start_speed_band,start_speed_minimum,start_speed_maximum,speed_band_order,requested_kernels,valid_kernels,validity_rate,robust_nonzero_kernels,robust_nonzero_rate,robust_full_kernels,robust_full_rate,mean_robust_pairs,mean_union_pairs,mean_presentation_gap,mean_delay_delta,delay_positive_kernels,delay_positive_rate,delay_zero_kernels,delay_zero_rate,delay_negative_kernels,delay_negative_rate,reference_friction_blind_candidate_rate,reference_friction_blind_robust_rate
0,low,3,6,0,2736,2069,0.7562134502923976,1685,0.8144030932817786,0,0.0,2.6302561623972935,4.995650072498791,2.3653939101014982,-0.03351055260190108,447,0.21604639922667956,1178,0.5693571773803769,444,0.21459642339294346,0.0,0.0
0,medium,7,10,1,2736,1927,0.7043128654970761,1834,0.9517384535547483,0,0.0,3.1785158277114687,5.0,1.8214841722885313,-0.23732918180245632,54,0.02802283341982356,958,0.497145822522055,915,0.47483134405812144,0.0,0.0
0,high,11,14,2,2736,1098,0.40131578947368424,1065,0.9699453551912568,0,0.0,3.2704918032786887,5.0,1.7295081967213115,-0.2355798421372192,24,0.02185792349726776,570,0.5191256830601093,504,0.45901639344262296,0.0,0.0
1,low,3,6,0,2736,246,0.08991228070175439,213,0.8658536585365854,0,0.0,2.8536585365853657,5.7682926829268295,2.9146341463414633,-0.2777777777777778,69,0.2804878048780488,33,0.13414634146341464,144,0.5853658536585366,0.5121951219512195,0.1951219512195122
1,medium,7,10,1,2736,1604,0.5862573099415205,1478,0.9214463840399002,0,0.0,3.1315461346633415,5.938279301745636,2.806733167082294,-0.256580770296481,362,0.2256857855361596,225,0.14027431421446385,1017,0.6340399002493765,0.6452964810196731,0.27057356608478805
1,high,11,14,2,2736,1671,0.6107456140350878,1584,0.947935368043088,0,0.0,3.3087971274685817,5.960502692998205,2.651705565529623,-0.30580490724117293,111,0.06642728904847396,207,0.12387791741472172,1353,0.8096947935368043,0.6886096150009974,0.3644524236983842
2,low,3,6,0,2736,12,0.0043859649122807015,9,0.75,0,0.0,2.25,5.25,3.0,-0.16666666666666666,6,0.5,3,0.25,3,0.25,0.5416666666666666,0.25
2,medium,7,10,1,2736,531,0.19407894736842105,390,0.7344632768361582,0,0.0,2.384180790960452,5.84180790960452,3.457627118644068,-0.4952919020715631,93,0.1751412429378531,66,0.12429378531073447,372,0.7005649717514124,0.7040175768989329,0.4406779661016949
2,high,11,14,2,2736,1386,0.506578947368421,1236,0.8917748917748918,0,0.0,3.1774891774891776,5.95021645021645,2.772727272727273,-0.3566618566618567,138,0.09956709956709957,174,0.12554112554112554,1074,0.7748917748917749,0.8092833092833093,0.6060606060606061
