factor,level,candidate_count,nonzero_rate,full_separation_rate,mean_pairs_separated,unique_signatures,pair_reference__instant_stop_rate,pair_reference__speed_only_rate,pair_reference__friction_blind_rate,pair_instant_stop__speed_only_rate,pair_instant_stop__friction_blind_rate,pair_speed_only__friction_blind_rate
speed_mode,exact,63264,0.9659996206373292,0.14142324228629236,4.4417836368234695,12,0.6950398330804249,0.932757966616085,0.3336652756702074,0.9096642640364189,0.7235868740515933,0.8470694233687405
speed_mode,coarse,63264,0.9703622913505311,0.1370131512392514,4.377766186140617,12,0.6352111785533637,0.9507776934749621,0.3345504552352049,0.9103281487101669,0.6712348254931715,0.8756638846737481
speed_mode,hidden,63264,0.9935508345978755,0.19878603945371776,4.7774405665149215,12,0.669733181588265,0.9778547040971168,0.41687215477996964,0.9766691957511381,0.8165939554881133,0.9197173748103187
distance_mode,exact,63264,0.9759578907435509,0.10924064238745575,4.307900227617602,12,0.5311551593323217,0.9619688922610015,0.3468955488113303,0.9280159332321699,0.6382144663631766,0.9016502276176024
distance_mode,coarse,63264,0.9697932473444613,0.10141628730399595,4.287209155285787,12,0.5409079413252402,0.9536703338391502,0.3486342943854325,0.9226100151745068,0.6314491654021245,0.8899374051593323
distance_mode,hidden,63264,0.9841616084977238,0.2665655032878098,5.001881006575619,11,0.9279210925644916,0.9457511380880121,0.38955804248861914,0.946035660091047,0.9417520232675771,0.8508630500758725
delay,0,94896,0.9797357106727365,0.1904927499578486,4.652567020738493,12,0.6966573933569381,0.9681967627718766,0.35832911819254765,0.9429059180576631,0.7654168774237059,0.9210609509357612
delay,1,94896,0.9735394537177542,0.1276555386949924,4.41209323891418,12,0.6366654021244309,0.9393968133535661,0.365062805597707,0.9215351542741528,0.7088602259315461,0.8405728376327769
