job_id,depth,repeat,order_index,method,workers,population_kernels,sample_kernels,sampling,presentations,chunksize,elapsed_s,candidate_digest,trace_digest,valid_kernels,candidates,semantic_requests,policy_invocations,expanded_nodes,cache_hits,cache_hit_rate,peak_cache_entries,group_elapsed_p50_ms,group_elapsed_p95_ms,group_elapsed_max_ms,completed_at
depth-0-repeat-1-kernel_memo_p8-w8,0,1,1,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,0.6090723999950569,3ba5752f040bcbb1750ce88b6cad9918935a3c12ce41e1742cedc78c95334f96,b2e6335eda7898352901c0d9afe84b8a857c91f49a33c84f5c3a32c5ae99cf12,223,4014,71285,71285,0,0,0.0,0,0.2135500035365112,11.072999997122675,20.180099993012846,2026-07-25T02:34:56.897154+08:00
depth-6-repeat-1-layerprobe_p8-w8,6,1,0,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,3.538414199996623,8db0c27d46d77c1fc3c70a6af164c487559a3447761ea0e0ba302f09593e8f18,a2d464f16d7606c807c21714296ba7d79c6e21a297910edb25d3c566c4a10457,223,4014,79085,54225,3349810,24860,0.3143453246506923,186,0.22200000239536166,184.24063500133337,610.2412000036566,2026-07-25T02:35:05.792329+08:00
depth-6-repeat-1-kernel_memo_p8-w8,6,1,1,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,5.266884799988475,8db0c27d46d77c1fc3c70a6af164c487559a3447761ea0e0ba302f09593e8f18,a2d464f16d7606c807c21714296ba7d79c6e21a297910edb25d3c566c4a10457,223,4014,79085,79085,5220929,0,0.0,0,0.23399999918183312,270.845744998951,687.6444999943487,2026-07-25T02:35:05.792329+08:00
depth-4-repeat-1-layerprobe_p8-w8,4,1,0,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,1.7400011999998242,de567e73a76fe924108d0ea01b5a6f915acb5f28fad5dd6c877682cfa1b379f3,04425edd96b5f3b256591bfe7be1e4c0a5ee2128e32a009a80f9a148edd75b92,223,4014,77502,52794,1417442,24708,0.3188046760083611,184,0.222250004298985,79.4610349963477,192.80309999885503,2026-07-25T02:35:10.155959+08:00
depth-4-repeat-1-kernel_memo_p8-w8,4,1,1,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,2.4996885000000475,de567e73a76fe924108d0ea01b5a6f915acb5f28fad5dd6c877682cfa1b379f3,04425edd96b5f3b256591bfe7be1e4c0a5ee2128e32a009a80f9a148edd75b92,223,4014,77502,77502,2166656,0,0.0,0,0.23659999715164304,112.17344000760927,245.1601000066148,2026-07-25T02:35:10.155959+08:00
depth-6-repeat-2-kernel_memo_p8-w8,6,2,0,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,5.104825600006734,8db0c27d46d77c1fc3c70a6af164c487559a3447761ea0e0ba302f09593e8f18,a2d464f16d7606c807c21714296ba7d79c6e21a297910edb25d3c566c4a10457,223,4014,79085,79085,5220929,0,0.0,0,0.2390000008745119,265.75529000037926,695.1304000103846,2026-07-25T02:35:19.021747+08:00
depth-6-repeat-2-layerprobe_p8-w8,6,2,1,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,3.6089920999947935,8db0c27d46d77c1fc3c70a6af164c487559a3447761ea0e0ba302f09593e8f18,a2d464f16d7606c807c21714296ba7d79c6e21a297910edb25d3c566c4a10457,223,4014,79085,54225,3349810,24860,0.3143453246506923,186,0.2406999992672354,190.1613400012138,608.9441999938572,2026-07-25T02:35:19.021747+08:00
depth-4-repeat-2-kernel_memo_p8-w8,4,2,0,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,2.4662147000053665,de567e73a76fe924108d0ea01b5a6f915acb5f28fad5dd6c877682cfa1b379f3,04425edd96b5f3b256591bfe7be1e4c0a5ee2128e32a009a80f9a148edd75b92,223,4014,77502,77502,2166656,0,0.0,0,0.2558499982114881,107.37520000329822,215.6091000069864,2026-07-25T02:35:23.452862+08:00
depth-4-repeat-2-layerprobe_p8-w8,4,2,1,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,1.8165678000077605,de567e73a76fe924108d0ea01b5a6f915acb5f28fad5dd6c877682cfa1b379f3,04425edd96b5f3b256591bfe7be1e4c0a5ee2128e32a009a80f9a148edd75b92,223,4014,77502,52794,1417442,24708,0.3188046760083611,184,0.21349999587982893,76.44759499889912,198.59090000682045,2026-07-25T02:35:23.452862+08:00
depth-2-repeat-2-kernel_memo_p8-w8,2,2,0,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,1.3005052999942563,04daf7fc034416ded3f204c6587b980ed625474c89f385c0ecc9e1bcc877cbe8,cc862531c507fb83513934bb03f7ec39e3313cb2a20963b8229a7d99065ea9c1,223,4014,75354,75354,763801,0,0.0,0,0.22370000078808516,41.10008000425296,76.99200000206474,2026-07-25T02:35:25.938986+08:00
depth-2-repeat-2-layerprobe_p8-w8,2,2,1,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,1.0248091999965254,04daf7fc034416ded3f204c6587b980ed625474c89f385c0ecc9e1bcc877cbe8,cc862531c507fb83513934bb03f7ec39e3313cb2a20963b8229a7d99065ea9c1,223,4014,75354,50612,503141,24742,0.3283435517689837,183,0.23525000142399222,31.94327500459622,64.7591999877477,2026-07-25T02:35:25.938986+08:00
depth-0-repeat-2-kernel_memo_p8-w8,0,2,0,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,0.6515134000073886,3ba5752f040bcbb1750ce88b6cad9918935a3c12ce41e1742cedc78c95334f96,b2e6335eda7898352901c0d9afe84b8a857c91f49a33c84f5c3a32c5ae99cf12,223,4014,71285,71285,0,0,0.0,0,0.22899999748915434,12.085614997340597,21.82840000023134,2026-07-25T02:35:27.486263+08:00
depth-0-repeat-2-layerprobe_p8-w8,0,2,1,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,0.7347218000068096,3ba5752f040bcbb1750ce88b6cad9918935a3c12ce41e1742cedc78c95334f96,b2e6335eda7898352901c0d9afe84b8a857c91f49a33c84f5c3a32c5ae99cf12,223,4014,71285,47674,0,23611,0.33121975170091883,190,0.26190000062342733,13.710255002661142,24.086699995677918,2026-07-25T02:35:27.486263+08:00
depth-2-repeat-3-layerprobe_p8-w8,2,3,0,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,0.9719037999893771,04daf7fc034416ded3f204c6587b980ed625474c89f385c0ecc9e1bcc877cbe8,cc862531c507fb83513934bb03f7ec39e3313cb2a20963b8229a7d99065ea9c1,223,4014,75354,50612,503141,24742,0.3283435517689837,183,0.22865000210003927,30.68390500193345,56.51460000080988,2026-07-25T02:35:29.817046+08:00
depth-2-repeat-3-kernel_memo_p8-w8,2,3,1,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,1.1941923000122188,04daf7fc034416ded3f204c6587b980ed625474c89f385c0ecc9e1bcc877cbe8,cc862531c507fb83513934bb03f7ec39e3313cb2a20963b8229a7d99065ea9c1,223,4014,75354,75354,763801,0,0.0,0,0.21425000159069896,38.53032500410336,74.45100000768434,2026-07-25T02:35:29.817046+08:00
depth-6-repeat-3-layerprobe_p8-w8,6,3,0,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,3.5040962000057334,8db0c27d46d77c1fc3c70a6af164c487559a3447761ea0e0ba302f09593e8f18,a2d464f16d7606c807c21714296ba7d79c6e21a297910edb25d3c566c4a10457,223,4014,79085,54225,3349810,24860,0.3143453246506923,186,0.23985000007087365,173.14618000091284,610.5361000081757,2026-07-25T02:35:38.565691+08:00
depth-6-repeat-3-kernel_memo_p8-w8,6,3,1,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,5.086733800009824,8db0c27d46d77c1fc3c70a6af164c487559a3447761ea0e0ba302f09593e8f18,a2d464f16d7606c807c21714296ba7d79c6e21a297910edb25d3c566c4a10457,223,4014,79085,79085,5220929,0,0.0,0,0.2437999937683344,259.2109750003146,682.6284999988275,2026-07-25T02:35:38.565691+08:00
depth-0-repeat-3-layerprobe_p8-w8,0,3,0,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,0.6067645000002813,3ba5752f040bcbb1750ce88b6cad9918935a3c12ce41e1742cedc78c95334f96,b2e6335eda7898352901c0d9afe84b8a857c91f49a33c84f5c3a32c5ae99cf12,223,4014,71285,47674,0,23611,0.33121975170091883,190,0.22714999795425683,11.919925000984222,21.955499993055128,2026-07-25T02:35:39.954879+08:00
depth-0-repeat-3-kernel_memo_p8-w8,0,3,1,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,0.6255853999900864,3ba5752f040bcbb1750ce88b6cad9918935a3c12ce41e1742cedc78c95334f96,b2e6335eda7898352901c0d9afe84b8a857c91f49a33c84f5c3a32c5ae99cf12,223,4014,71285,71285,0,0,0.0,0,0.22324999736156315,11.079459999746176,19.89190001040697,2026-07-25T02:35:39.954879+08:00
depth-4-repeat-3-layerprobe_p8-w8,4,3,0,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,1.800707300004433,de567e73a76fe924108d0ea01b5a6f915acb5f28fad5dd6c877682cfa1b379f3,04425edd96b5f3b256591bfe7be1e4c0a5ee2128e32a009a80f9a148edd75b92,223,4014,77502,52794,1417442,24708,0.3188046760083611,184,0.21279999782564119,77.38953500302159,185.30869999085553,2026-07-25T02:35:44.323487+08:00
depth-4-repeat-3-kernel_memo_p8-w8,4,3,1,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,2.399178399995435,de567e73a76fe924108d0ea01b5a6f915acb5f28fad5dd6c877682cfa1b379f3,04425edd96b5f3b256591bfe7be1e4c0a5ee2128e32a009a80f9a148edd75b92,223,4014,77502,77502,2166656,0,0.0,0,0.21879999985685572,104.87606500100809,213.43819999310654,2026-07-25T02:35:44.323487+08:00
depth-0-repeat-4-kernel_memo_p8-w8,0,4,0,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,0.6021215999935521,3ba5752f040bcbb1750ce88b6cad9918935a3c12ce41e1742cedc78c95334f96,b2e6335eda7898352901c0d9afe84b8a857c91f49a33c84f5c3a32c5ae99cf12,223,4014,71285,71285,0,0,0.0,0,0.2164999968954362,11.056999998982063,20.708700001705438,2026-07-25T02:35:45.709794+08:00
depth-0-repeat-4-layerprobe_p8-w8,0,4,1,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,0.6057416999974521,3ba5752f040bcbb1750ce88b6cad9918935a3c12ce41e1742cedc78c95334f96,b2e6335eda7898352901c0d9afe84b8a857c91f49a33c84f5c3a32c5ae99cf12,223,4014,71285,47674,0,23611,0.33121975170091883,190,0.20880000374745578,11.246420004317768,22.517399993375875,2026-07-25T02:35:45.709794+08:00
depth-4-repeat-4-kernel_memo_p8-w8,4,4,0,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,2.3929348999954527,de567e73a76fe924108d0ea01b5a6f915acb5f28fad5dd6c877682cfa1b379f3,04425edd96b5f3b256591bfe7be1e4c0a5ee2128e32a009a80f9a148edd75b92,223,4014,77502,77502,2166656,0,0.0,0,0.28059999749530107,105.29521000207751,215.9100999997463,2026-07-25T02:35:50.085671+08:00
depth-4-repeat-4-layerprobe_p8-w8,4,4,1,layerprobe_p8,8,24624,512,equidistant_grid_index,18,16,1.7975156000029529,de567e73a76fe924108d0ea01b5a6f915acb5f28fad5dd6c877682cfa1b379f3,04425edd96b5f3b256591bfe7be1e4c0a5ee2128e32a009a80f9a148edd75b92,223,4014,77502,52794,1417442,24708,0.3188046760083611,184,0.24765000125626102,80.26124000316484,214.07889999682084,2026-07-25T02:35:50.085671+08:00
depth-6-repeat-4-kernel_memo_p8-w8,6,4,0,kernel_memo_p8,8,24624,512,equidistant_grid_index,18,16,5.153816800011555,8db0c27d46d77c1fc3c70a6af164c487559a3447761ea0e0ba302f09593e8f18,a2d464f16d7606c807c21714296ba7d79c6e21a297910edb25d3c566c4a10457,223,4014,79085,79085,5220929,0,0.0,0,0.2403999969828874,262.30939000524813,684.9329999968177,2026-07-25T02:35:58.969516+08:00
